u1x,u1y,u1h,u1v,u2x,u2y,u2h,u2v,u3x,u3y,u3h,u3v,u4x,u4y,u4h,u4v
7.421572875253809798e+01,4.441968590337307887e+01,1.000000000000000000e+01,2.500000000146225254e+00,6.421572875253809798e+01,1.741968590337307532e+01,1.000000000000000000e+01,2.500000000146225254e+00,5.421572875253809798e+01,6.641968590337307887e+01,1.000000000000000000e+01,2.500000000146225254e+00,4.421572875253809798e+01,3.441968590337307887e+01,1.000000000000000000e+01,2.500000000146225254e+00
7.671572875253809798e+01,4.441969942303703078e+01,1.000000000000000000e+01,2.500000000036556091e+00,6.671572875253809798e+01,1.741969942303703078e+01,1.000000000000000000e+01,2.500000000036556091e+00,5.671572875253809798e+01,6.641969942303703078e+01,1.000000000000000000e+01,2.500000000036556091e+00,4.671572875253809798e+01,3.441969942303703078e+01,1.000000000000000000e+01,2.500000000036556091e+00
7.921572875253809798e+01,4.441970618286900674e+01,1.000000000000000000e+01,2.500000000009138912e+00,6.921572875253809798e+01,1.741970618286900674e+01,1.000000000000000000e+01,2.500000000009138912e+00,5.921572875253809798e+01,6.641970618286900674e+01,1.000000000000000000e+01,2.500000000009138912e+00,4.921572875253809798e+01,3.441970618286900674e+01,1.000000000000000000e+01,2.500000000009138912e+00
8.171572875253809798e+01,4.441970956278499472e+01,1.000000000000000000e+01,2.500000000002284839e+00,7.171572875253809798e+01,1.741970956278499472e+01,1.000000000000000000e+01,2.500000000002284839e+00,6.171572875253809798e+01,6.641970956278498761e+01,1.000000000000000000e+01,2.500000000002284839e+00,5.171572875253809798e+01,3.441970956278499472e+01,1.000000000000000000e+01,2.500000000002284839e+00
8.421572875253809798e+01,4.441971125274298515e+01,1.000000000000000000e+01,2.500000000000571099e+00,7.421572875253809798e+01,1.741971125274298871e+01,1.000000000000000000e+01,2.500000000000571099e+00,6.421572875253809798e+01,6.641971125274298515e+01,1.000000000000000000e+01,2.500000000000571099e+00,5.421572875253809798e+01,3.441971125274298515e+01,1.000000000000000000e+01,2.500000000000571099e+00
8.671572875253809798e+01,4.441971209772198392e+01,1.000000000000000000e+01,2.500000000000142997e+00,7.671572875253809798e+01,1.741971209772198392e+01,1.000000000000000000e+01,2.500000000000142997e+00,6.671572875253809798e+01,6.641971209772198392e+01,1.000000000000000000e+01,2.500000000000142997e+00,5.671572875253809798e+01,3.441971209772198392e+01,1.000000000000000000e+01,2.500000000000142997e+00
8.921572875253809798e+01,4.441971252021148331e+01,1.000000000000000000e+01,2.500000000000035527e+00,7.921572875253809798e+01,1.741971252021148331e+01,1.000000000000000000e+01,2.500000000000035527e+00,6.921572875253809798e+01,6.641971252021147620e+01,1.000000000000000000e+01,2.500000000000035527e+00,5.921572875253809798e+01,3.441971252021148331e+01,1.000000000000000000e+01,2.500000000000035527e+00
8.921572875253809798e+01,4.441971252021148331e+01,1.000000000000000000e+01,0.000000000000000000e+00,7.921572875253809798e+01,1.741971252021148331e+01,1.000000000000000000e+01,0.000000000000000000e+00,6.921572875253809798e+01,6.641971252021147620e+01,1.000000000000000000e+01,0.000000000000000000e+00,5.921572875253809798e+01,3.441971252021148331e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.171572875253809798e+01,4.441971273145622945e+01,1.000000000000000000e+01,2.500000000000008882e+00,8.171572875253809798e+01,1.741971273145623300e+01,1.000000000000000000e+01,2.500000000000008882e+00,7.171572875253809798e+01,6.641971273145622945e+01,1.000000000000000000e+01,2.500000000000008882e+00,6.171572875253809798e+01,3.441971273145622945e+01,1.000000000000000000e+01,2.500000000000008882e+00
9.171572875253809798e+01,4.441971273145622945e+01,1.000000000000000000e+01,0.000000000000000000e+00,8.171572875253809798e+01,1.741971273145623300e+01,1.000000000000000000e+01,0.000000000000000000e+00,7.171572875253809798e+01,6.641971273145622945e+01,1.000000000000000000e+01,0.000000000000000000e+00,6.171572875253809798e+01,3.441971273145622945e+01,1.000000000000000000e+01,0.000000000000000000e+00
9.421572875253809798e+01,4.441971283707860607e+01,1.000000000000000000e+01,2.500000000000002220e+00,8.421572875253809798e+01,1.741971283707860607e+01,1.000000000000000000e+01,2.500000000000002220e+00,7.421572875253809798e+01,6.641971283707860607e+01,1.000000000000000000e+01,2.500000000000002220e+00,6.421572875253809798e+01,3.441971283707860607e+01,1.000000000000000000e+01,2.500000000000002220e+00
9.671572875253809798e+01,4.441971288988979438e+01,1.000000000000000000e+01,2.500000000000000444e+00,8.671572875253809798e+01,1.741971288988979438e+01,1.000000000000000000e+01,2.500000000000000444e+00,7.671572875253809798e+01,6.641971288988979438e+01,1.000000000000000000e+01,2.500000000000000444e+00,6.671572875253809798e+01,3.441971288988979438e+01,1.000000000000000000e+01,2.500000000000000444e+00
9.921572875253809798e+01,4.441971291629538854e+01,1.000000000000000000e+01,2.500000000000000000e+00,8.921572875253809798e+01,1.741971291629538854e+01,1.000000000000000000e+01,2.500000000000000000e+00,7.921572875253809798e+01,6.641971291629539564e+01,1.000000000000000000e+01,2.500000000000000000e+00,6.921572875253809798e+01,3.441971291629538854e+01,1.000000000000000000e+01,2.500000000000000000e+00
1.017157287525380980e+02,4.441971292949818917e+01,1.000000000000000000e+01,2.500000000000000000e+00,9.171572875253809798e+01,1.741971292949818562e+01,1.000000000000000000e+01,2.500000000000000000e+00,8.171572875253809798e+01,6.641971292949818917e+01,1.000000000000000000e+01,2.500000000000000000e+00,7.171572875253809798e+01,3.441971292949818917e+01,1.000000000000000000e+01,2.500000000000000000e+00
1.042157287525380980e+02,4.441971293609958593e+01,1.000000000000000000e+01,2.500000000000000000e+00,9.421572875253809798e+01,1.741971293609958593e+01,1.000000000000000000e+01,2.500000000000000000e+00,8.421572875253809798e+01,6.641971293609958593e+01,1.000000000000000000e+01,2.500000000000000000e+00,7.421572875253809798e+01,3.441971293609958593e+01,1.000000000000000000e+01,2.500000000000000000e+00
1.067157287525380980e+02,4.441971293940028431e+01,1.000000000000000000e+01,2.500000000000000000e+00,9.671572875253809798e+01,1.741971293940028431e+01,1.000000000000000000e+01,2.500000000000000000e+00,8.671572875253809798e+01,6.641971293940028431e+01,1.000000000000000000e+01,2.500000000000000000e+00,7.671572875253809798e+01,3.441971293940028431e+01,1.000000000000000000e+01,2.500000000000000000e+00
1.092157287525380980e+02,4.441971294105063350e+01,1.000000000000000000e+01,2.500000000000000000e+00,9.921572875253809798e+01,1.741971294105063350e+01,1.000000000000000000e+01,2.500000000000000000e+00,8.921572875253809798e+01,6.641971294105063350e+01,1.000000000000000000e+01,2.500000000000000000e+00,7.921572875253809798e+01,3.441971294105063350e+01,1.000000000000000000e+01,2.500000000000000000e+00
1.092157287525380980e+02,4.441971294105063350e+01,1.000000000000000000e+01,0.000000000000000000e+00,9.921572875253809798e+01,1.741971294105063350e+01,1.000000000000000000e+01,0.000000000000000000e+00,8.921572875253809798e+01,6.641971294105063350e+01,1.000000000000000000e+01,0.000000000000000000e+00,7.921572875253809798e+01,3.441971294105063350e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.117157287525380980e+02,4.441971294187580810e+01,1.000000000000000000e+01,2.500000000000000000e+00,1.017157287525380980e+02,1.741971294187580810e+01,1.000000000000000000e+01,2.500000000000000000e+00,9.171572875253809798e+01,6.641971294187581520e+01,1.000000000000000000e+01,2.500000000000000000e+00,8.171572875253809798e+01,3.441971294187580810e+01,1.000000000000000000e+01,2.500000000000000000e+00
1.117157287525380980e+02,4.441971294187580810e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.017157287525380980e+02,1.741971294187580810e+01,1.000000000000000000e+01,0.000000000000000000e+00,9.171572875253809798e+01,6.641971294187581520e+01,1.000000000000000000e+01,0.000000000000000000e+00,8.171572875253809798e+01,3.441971294187580810e+01,1.000000000000000000e+01,0.000000000000000000e+00
1.142157287525380980e+02,4.441971294228839895e+01,1.000000000000000000e+01,2.500000000000000000e+00,1.042157287525380980e+02,1.741971294228839540e+01,1.000000000000000000e+01,2.500000000000000000e+00,9.421572875253809798e+01,6.641971294228839895e+01,1.000000000000000000e+01,2.500000000000000000e+00,8.421572875253809798e+01,3.441971294228839895e+01,1.000000000000000000e+01,2.500000000000000000e+00
